feature,importance
Glucose,0.38598704403429923
BMI,0.17265999594918371
Age,0.1160511249788541
DiabetesPedigreeFunction,0.08579881012686037
Pregnancies,0.07126998959763145
Insulin,0.06859682462406178
BloodPressure,0.05266351420741388
SkinThickness,0.04697269648169549
